Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD,CH1ENTROPY,CH2ENTROPY,CH3ENTROPY,CH4ENTROPY,CH5ENTROPY,CH6ENTROPY,CH7ENTROPY,CH8ENTROPY,CH9ENTROPY,CH10ENTROPY,CH11ENTROPY,CH12ENTROPY,CH13ENTROPY,CH14ENTROPY,Classification
11.0,4105.8478622436705,4132.785953521754,4142.2080278396825,4139.642941474939,4157.654745101954,4149.906338691734,4143.968368530295,4077.8300294876276,4146.003103256253,4167.633228302025,4136.451833724995,4169.640430450465,4138.368899345425,4191.762313842797,64.54410207616492,46.95860608139039,50.455952770304734,47.90919127454284,49.82174177346378,50.39702420496933,55.86284402010753,39.554665880891065,47.829748786805204,48.1398499090489,56.71049405000785,64.08200692914932,53.83125002936688,51.28918551719279,-1.0824532552668398,-0.6741931906939672,-0.5092357434701545,-0.4946343432529658,-0.2106341661534554,-0.4013592478424894,-0.4295161059256669,-1.9892473090058072,-0.42174961389346544,-0.054686782505272986,-0.5265165814601771,0.030879605419743675,-0.5652613537926481,-0.48847417260754594,open_hand
12.0,4200.9640483856465,4246.565507888819,4241.182897567776,4258.363893508938,4241.387704849269,4235.642023086575,4189.836725235013,4196.643621444728,4231.585527420071,4241.819919586204,4238.385911941554,4297.519510269191,4229.780645370509,4279.9469318390165,30.705976734674547,18.731808537296736,29.627079083786963,17.65696210176904,21.807627798087566,25.57977739443802,37.928748598287626,16.443667823588587,24.20014279781329,24.894905108960348,28.538875481541318,49.12260423283324,29.28943000612361,23.925273921287786,0.5657026669738142,1.4555082874087772,1.3659747092499595,1.532548176166438,1.444061520245151,1.24866777762317,0.38023372568012004,0.5854367644116747,1.24646513169106,1.364515992124027,1.1722232436673086,1.9813197812442125,1.1329304713578956,1.3732915248351731,open_hand
13.0,4291.378711700467,4255.0400638580595,4282.786941528348,4254.702020645167,4277.905660629298,4272.541555404692,4256.733774185205,4262.545080184962,4276.101751327544,4278.071392059352,4288.083438873318,4261.941614151028,4283.8741989136015,4316.277538299586,12.364791165763469,23.15389622987059,26.495875188809784,28.463074518188854,15.275303598728353,16.129809695732696,11.090340296397555,47.02712567168558,15.568957558839058,13.824815183757464,18.67470304947804,65.92257074819473,16.992961996527175,14.354114805319853,2.1323914593238764,1.6141332220409415,2.1542186172704474,1.470021010315822,2.165714070061387,1.9588181191255385,1.5612194425015944,2.0135177898109,2.1141972842418686,2.058012216685548,2.000436631048664,1.438677794309834,2.13784761182052,2.140308249662189,open_hand
14.0,4246.597560882592,4246.312105178859,4237.97424507144,4247.966743469264,4240.59996604922,4250.387619018577,4234.18768692019,4185.145233154324,4241.365173339871,4244.756105422999,4236.684185028103,4172.830020904566,4242.118389129664,4285.075119018582,9.022978778976158,18.491484680034546,11.380505583361677,23.032438777992216,12.265019122816982,11.706603048074623,12.36928074783583,13.743255395858464,17.00121809215578,19.020354149770053,14.73347598469383,36.86008801004815,15.27405780395804,11.972661424087727,1.3564318469918244,1.4507651494262068,1.305182523144489,1.3550148894878182,1.428494555953155,1.5324543008910054,1.1631958009801564,0.3362673157516144,1.437094804657266,1.4206856772019656,1.1438638242273185,0.07952794864306247,1.3621335716558673,1.4815585128646453,open_hand
15.0,4233.021333694485,4236.451833725002,4233.783548355128,4237.225553512599,4223.288764953642,4226.549987792998,4219.682989120508,4209.154144287135,4224.514219284081,4206.3581695556895,4221.115270614649,4182.749900817895,4219.917879104639,4267.88860702517,10.22115667883199,19.226810576747695,15.40038354162086,22.387895845337596,11.321612791425936,14.196662973371966,11.875848939326378,14.230688967855047,19.532784833017878,20.121993073297233,14.712715803518485,38.36709749023161,14.913470276405592,12.979426799620944,1.1211854588706203,1.2662026873337056,1.2257842040742308,1.1716070567096712,1.0863978491644122,1.0736869157243847,0.9071330718007251,0.8565391137464483,1.1086277121707815,0.6861272789283843,0.8844065807729008,0.23082816404763978,0.9497059977604274,1.118714524705705,open_hand
16.0,4184.881311416655,4161.294576644923,4181.100749969508,4154.406062126184,4174.927871704125,4180.505809783961,4182.483484268212,4210.806280136135,4174.001903533965,4169.811204910306,4182.270612716698,4183.778549194359,4172.518526077294,4222.976257324246,17.709895648056722,28.123422967933553,18.066295430135806,32.41962924466599,21.34192553457902,31.320635229906397,27.825475708473494,18.86570958143305,24.82487790781814,15.66624143872777,17.86486063343486,30.003656896251037,18.414942650636156,16.693035686493204,0.2870239346104599,-0.14057485177682577,0.22763856889770642,-0.2425512896423997,0.1307101284407117,0.18754319836191877,0.25042123483911893,0.8923408077064815,0.1240167854381056,-0.013021756177181312,0.23705715142395492,0.24651733793827627,0.06914964336834922,0.1705188646834535,open_hand
17.0,4155.76222324374,4134.761116027856,4151.317110061673,4129.923387527487,4144.459630966212,4142.338741302516,4136.095254898095,4182.614677429223,4143.301275253321,4152.345252990748,4149.172670364407,4192.545587539698,4152.538063049343,4192.610185623193,25.16928132843432,21.666189777191313,14.383765901142063,26.578987451462144,12.03749858143417,14.560888127683977,17.935643511261535,34.35692683090345,17.63315338121274,14.043985790021217,13.828323232265813,20.18197852386495,19.533894065567388,12.399226499037315,-0.2175463133050753,-0.6372225193625476,-0.3366520740570029,-0.6605975495890002,-0.4713904861000968,-0.5470015238468127,-0.5685063139012743,0.281430310868655,-0.4744149754856483,-0.3471480933503202,-0.31452278913490944,0.3802341572646515,-0.30203524754794375,-0.47057378779626496,open_hand
18.0,4133.403437614466,4218.696411132839,4215.192802429225,4224.958417892482,4209.058498382588,4201.123310089137,4184.457147598294,4185.527835845973,4205.902944564845,4207.578626632718,4207.899158477809,4216.76582527163,4204.670969009427,4250.321012496974,27.959252655357222,13.515510925480372,21.700615158699918,15.104037168732683,12.967903920463629,19.438216798764167,14.634214691252375,23.843901334139215,21.266837113128066,14.694810985392653,16.071313257591626,24.847804562137135,15.060535082249856,17.024210778263328,-0.6049752719682355,0.9338604668950711,0.8735578138815486,0.9621434155713715,0.8051852802729794,0.5843375196670815,0.28526385105640756,0.34455829526337417,0.7458475826745173,0.7094748098675766,0.6641589814126176,0.7496466116500465,0.666458174495028,0.7478250700325564,open_hand
19.0,4212.931680679347,4218.53916931155,4215.888938903836,4220.729665756249,4213.776042938258,4208.506097793602,4203.354856491115,4187.164464950588,4210.430711746245,4217.40983963015,4211.65167045596,4217.664272308378,4212.566099166896,4259.519241333034,47.51939498364486,8.678784165625293,9.12327297811001,10.136695203516247,15.388090375382289,13.674177889742568,8.373027788917941,11.239882473479012,14.625369729203745,18.912981497454727,13.741475592662313,43.73388714816027,18.26396168144725,12.892751320144725,0.7730756162068669,0.9309172479566363,0.8867470446155434,0.8899366798380446,0.8984114202567547,0.7264230389188012,0.618879827146593,0.380023958916282,0.8341050496764599,0.8975474213078349,0.7266949031875635,0.7633499257402455,0.8131291010982079,0.9420193333102888,open_hand
20.0,4167.566118240381,4160.871379852322,4164.891815185574,4157.479465484643,4162.312696456935,4154.622400283835,4165.399133682278,4195.187294006371,4158.323314666775,4165.489280700708,4160.016035079981,4165.126710891751,4155.845355987576,4209.146127700831,9.101761851279832,12.437646300321003,20.81494042051622,13.326398774246268,18.145204478345132,8.74076345529027,13.703348435014837,10.194189106138573,16.25194397520676,14.398681175227864,12.104461223178237,27.464261032435566,17.76850813691684,13.022800130918792,-0.013010574086281158,-0.14849615925374637,-0.07946124358796207,-0.19007235094919336,-0.11858568204636864,-0.3105962343358778,-0.051182114483235244,0.5538782280569232,-0.18159798761549034,-0.09570082871462281,-0.1338172213502612,-0.037964649498257966,-0.24059437068794076,-0.12146472053956431,open_hand
