Time:512Hz,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Classification
0.048828125,1164715392.0,1145632256.0,1145657472.0,1163278592.0,1145630208.0,1145628032.0,1145630208.0,1145630208.0,1145630208.0,1145657472.0,1166035712.0,1145657472.0,1166174848.0,1145632256.0,right
0.05078125,1145630208.0,1145628032.0,1145657472.0,1166027904.0,1145657472.0,1166171520.0,1145630208.0,1164672768.0,1145632256.0,1145657472.0,1163300608.0,1145628032.0,1145630208.0,1145630208.0,right
0.052734375,1164670208.0,1145630208.0,1145657472.0,1163278592.0,1145628032.0,1145630208.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1166026496.0,1145657472.0,1166172032.0,1145632256.0,right
0.0546875,1145628032.0,1145628032.0,1145657472.0,1166025728.0,1145657472.0,1166169856.0,1145630208.0,1164735872.0,1145632256.0,1145657472.0,1163207680.0,1145628032.0,1145628032.0,1145630208.0,right
0.056640625,1164747904.0,1145630208.0,1145657472.0,1163200896.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1166013440.0,1145657472.0,1166157568.0,1145630208.0,right
0.05859375,1145628032.0,1145628032.0,1145657472.0,1166005120.0,1145657472.0,1166153600.0,1145632256.0,1164756864.0,1145630208.0,1145657472.0,1163240320.0,1145628032.0,1145628032.0,1145630208.0,right
0.060546875,1164732672.0,1145630208.0,1145657472.0,1163239168.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1166005120.0,1145657472.0,1166151040.0,1145630208.0,right
0.0625,1145628032.0,1145628032.0,1145657472.0,1166011392.0,1145657472.0,1166151808.0,1145632256.0,1164578304.0,1145630208.0,1145657472.0,1163169408.0,1145628032.0,1145628032.0,1145630208.0,right
0.064453125,1164523648.0,1145632256.0,1145657472.0,1163137920.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1166024960.0,1145657472.0,1166152064.0,1145632256.0,right
0.06640625,1145628032.0,1145628032.0,1145657472.0,1166029440.0,1145657472.0,1166147072.0,1145632256.0,1164475904.0,1145630208.0,1145657472.0,1163106304.0,1145628032.0,1145628032.0,1145630208.0,right
0.068359375,1164428160.0,1145632256.0,1145657472.0,1163069568.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1166033152.0,1145657472.0,1166142848.0,1145632256.0,right
0.0703125,1145628032.0,1145628032.0,1145657472.0,1166031488.0,1145657472.0,1166143872.0,1145630208.0,1164280576.0,1145632256.0,1145657472.0,1162946176.0,1145628032.0,1145628032.0,1145630208.0,right
0.072265625,1164190208.0,1145630208.0,1145657472.0,1162924672.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1166011392.0,1145657472.0,1166132864.0,1145632256.0,right
0.07421875,1145628032.0,1145628032.0,1145657472.0,1165985664.0,1145657472.0,1166126592.0,1145630208.0,1164055808.0,1145632256.0,1145657472.0,1163036544.0,1145628032.0,1145628032.0,1145630208.0,right
0.076171875,1164026880.0,1145630208.0,1145657472.0,1163114240.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165946240.0,1145657472.0,1166123392.0,1145630208.0,right
0.078125,1145628032.0,1145628032.0,1145657472.0,1165933696.0,1145657472.0,1166121344.0,1145632256.0,1163923456.0,1145630208.0,1145657472.0,1163177728.0,1145628032.0,1145628032.0,1145630208.0,right
0.080078125,1163857792.0,1145630208.0,1145657472.0,1163165696.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165922560.0,1145657472.0,1166114176.0,1145630208.0,right
0.08203125,1145628032.0,1145628032.0,1145657472.0,1165916800.0,1145657472.0,1166108928.0,1145632256.0,1163766400.0,1145630208.0,1145657472.0,1163121024.0,1145628032.0,1145628032.0,1145630208.0,right
0.083984375,1163699712.0,1145632256.0,1145657472.0,1163099008.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165897984.0,1145657472.0,1166100096.0,1145632256.0,right
